id;category;difficulty;question;answer1;answer2;answer3;answer4;correctAnswer;explanation;media
netzwerk-002;Netzwerk;medium;Welche Aufgabe übernimmt ein Router hauptsächlich?;Er verbindet unterschiedliche IP-Netze und leitet Pakete zwischen ihnen weiter;Er speichert dauerhaft alle Dateien der Clients;Er ersetzt den Arbeitsspeicher der Endgeräte;Er verteilt ausschließlich MAC-Adressen;0;Ein Router arbeitet zwischen unterschiedlichen IP-Netzen und entscheidet anhand seiner Routinginformationen, wohin Pakete weitergeleitet werden.;
netzwerk-003;Netzwerk;medium;Welche Information benötigt ein Host, um ein Ziel in einem anderen IPv4-Netz zu erreichen?;Die Adresse eines geeigneten Standardgateways;Die MAC-Adresse jedes Routers im Internet;Die Seriennummer des Zielgeräts;Die lokale Benutzerkennung des Zielsystems;0;Für Ziele außerhalb des eigenen Subnetzes sendet ein Host die Pakete normalerweise an sein Standardgateway.;
netzwerk-004;Netzwerk;medium;Wozu dient die Subnetzmaske beziehungsweise Präfixlänge bei IPv4?;Sie trennt den Netzanteil vom Hostanteil einer IP-Adresse;Sie verschlüsselt IP-Pakete automatisch;Sie bestimmt die MAC-Adresse des Hosts;Sie gibt ausschließlich die maximale Kabelstrecke an;0;Die Subnetzmaske beziehungsweise Präfixlänge legt fest, welcher Teil einer IP-Adresse das Netz und welcher Teil den Host beschreibt.;
netzwerk-005;Netzwerk;medium;Welche Aufgabe hat DHCP in einem typischen LAN?;Es kann Clients automatisch Netzwerkkonfigurationen wie IP-Adresse, Subnetzmaske und Gateway zuweisen;Es verschlüsselt automatisch den gesamten Netzwerkverkehr;Es ersetzt DNS vollständig;Es speichert Webseiten lokal auf jedem Client;0;DHCP automatisiert die Vergabe wichtiger Netzwerkeinstellungen und reduziert dadurch den manuellen Konfigurationsaufwand.;
netzwerk-006;Netzwerk;medium;Welche Aufgabe übernimmt DNS hauptsächlich?;Es löst Namen wie server.example in IP-Adressen auf;Es vergibt MAC-Adressen an Switches;Es misst die elektrische Leistung eines Routers;Es komprimiert Ethernet-Frames;0;DNS ordnet menschenlesbare Namen den zugehörigen IP-Adressen beziehungsweise anderen DNS-Ressourceneinträgen zu.;
netzwerk-007;Netzwerk;medium;Ein PC kann die IP-Adresse eines Webservers erreichen, aber dessen Hostname nicht auflösen. Welcher Dienst sollte zuerst überprüft werden?;DNS;DHCP;NTP;SNMP;0;Wenn die Kommunikation per IP funktioniert, aber die Namensauflösung fehlschlägt, liegt der Verdacht besonders auf der DNS-Konfiguration oder dem DNS-Dienst.;
netzwerk-008;Netzwerk;medium;Welche Aussage beschreibt ARP in einem IPv4-LAN am besten?;ARP ermittelt zu einer bekannten IPv4-Adresse die zugehörige MAC-Adresse im lokalen Netz;ARP vergibt automatisch IP-Adressen;ARP verschlüsselt Daten zwischen zwei Routern;ARP ersetzt TCP bei Dateiübertragungen;0;ARP wird im lokalen IPv4-Netz verwendet, um die MAC-Adresse zu einer bekannten IP-Adresse zu ermitteln.;
netzwerk-009;Netzwerk;medium;Welche Eigenschaft unterscheidet TCP typischerweise von UDP?;TCP stellt unter anderem eine verbindungsorientierte und zuverlässige Übertragung bereit;UDP garantiert immer die Reihenfolge aller Pakete;TCP funktioniert nur innerhalb eines lokalen Netzes;UDP benötigt grundsätzlich mehr Overhead als TCP;0;TCP verwendet unter anderem Verbindungsaufbau, Bestätigungen und Reihenfolgenkontrolle. UDP arbeitet verbindungslos und mit geringerem Protokollaufwand.;
netzwerk-010;Netzwerk;medium;Ein Unternehmen möchte mehrere logische Netze über dieselbe physische Switch-Infrastruktur trennen. Welche Technik eignet sich dafür?;VLAN;NAT;RAID;S.M.A.R.T.;0;VLANs ermöglichen die logische Trennung von Broadcast-Domänen auf gemeinsam genutzter Switch-Hardware.;
netzwerk-011;Netzwerk;hard;Ein Host mit der Adresse 192.168.10.130/26 möchte 192.168.10.190 erreichen. Welche Aussage ist korrekt?;Beide Adressen liegen im selben /26-Subnetz;Die Adressen liegen in unterschiedlichen /26-Subnetzen und benötigen für die Kommunikation einen Router;192.168.10.190 ist die Netzadresse des Subnetzes;192.168.10.130 ist eine Broadcastadresse;0;Ein /26-Netz besitzt Blöcke zu 64 Adressen. Der Bereich 192.168.10.128 bis 192.168.10.191 gehört zu demselben Subnetz, daher liegen beide Hosts im gleichen Netz.;
netzwerk-012;Netzwerk;hard;Ein Switch empfängt einen Ethernet-Frame mit einer Ziel-MAC-Adresse, die noch nicht in seiner MAC-Tabelle bekannt ist. Wie verhält er sich normalerweise?;Er sendet den Frame über alle geeigneten Ports des VLANs außer dem Eingangsport;Er verwirft den Frame immer sofort;Er sendet den Frame ausschließlich an das Standardgateway;Er ersetzt die Ziel-MAC-Adresse durch eine Broadcastadresse;0;Bei einem unbekannten Unicast-Ziel führt ein Switch normalerweise Flooding innerhalb des betreffenden VLANs durch, bis er die Ziel-MAC gelernt hat.;
